Namespace(att_dim=50, att_head_num=2, att_layer_num=1, batch_size=128, cpnet_vocab_path='./data/ddb/vocab.txt', cuda=True, dataset='medmcqa', debug=False, decoder_lr=0.001, dev_adj='./data/medmcqa/graph/dev.graph.adj.pk', dev_embs='./data/medmcqa/features/dev.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', dev_statements='./data/medmcqa/statement/dev.statement.jsonl', diag_decompose=True, dropoutf=0.2, dropoutg=0.1, dropouti=0.1, encoder='./LM_models/cambridgeltl--SapBERT-from-PubMedBERT-fulltext', encoder_layer=-1, encoder_lr=5e-05, ent_emb=['ddb'], ent_emb_paths=['./data/ddb/ent_emb.npy'], eps=1e-15, eval_batch_size=4, fc_dim=200, fc_layer_num=0, fix_trans=False, format=[], freeze_ent_emb=True, gamma=1.0, gnn_dim=100, gnn_layer_num=4, inhouse=False, inhouse_train_qids='./data/medmcqa/inhouse_split_qids.txt', init_identity=True, init_range=0.02, init_rn=True, log_interval=20, loss='cross_entropy', lr_schedule='fixed', max_epochs_before_stop=10, max_grad_norm=1.0, max_node_num=200, max_seq_len=128, mini_batch_size=2, mode='train', n_epochs=100, num_basis=0, num_relation=30, optim='radam', preds_dir='./preds_res/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', refreeze_epoch=10000, save_dir='./saved_models/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', seed=0, simple=False, subsample=1.0, test_adj='./data/medmcqa/graph/test.graph.adj.pk', test_embs='./data/medmcqa/features/test.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', test_statements='./data/medmcqa/statement/test.statement.jsonl', train_adj='./data/medmcqa/graph/train.graph.adj.pk', train_embs='./data/medmcqa/features/train.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', train_statements='./data/medmcqa/statement/train.statement.jsonl', unfreeze_epoch=0, use_contextualized=False, warmup_steps=50, weight_decay=0.01)
| num_concepts: 9958 |
loading adj matrices:  42%|████▏     | 304066/731288 [00:55<01:16, 5605.66it/s]
loading adj matrices:  42%|████▏     | 304627/731288 [00:55<01:16, 5601.22it/s]
loading adj matrices:  42%|████▏     | 305191/731288 [00:55<01:15, 5612.72it/s]
loading adj matrices:  42%|████▏     | 305753/731288 [00:55<01:16, 5589.04it/s]
loading adj matrices:  42%|████▏     | 306312/731288 [00:55<01:16, 5570.64it/s]
loading adj matrices:  42%|████▏     | 306874/731288 [00:56<01:16, 5582.98it/s]
loading adj matrices:  42%|████▏     | 307433/731288 [00:56<01:15, 5584.60it/s]
loading adj matrices:  42%|████▏     | 307997/731288 [00:56<01:15, 5600.40it/s]
loading adj matrices:  42%|████▏     | 308558/731288 [00:56<01:15, 5577.17it/s]
loading adj matrices:  42%|████▏     | 309116/731288 [00:56<01:15, 5564.31it/s]
loading adj matrices:  42%|████▏     | 309685/731288 [00:56<01:15, 5599.68it/s]
loading adj matrices:  42%|████▏     | 310259/731288 [00:56<01:14, 5639.17it/s]
loading adj matrices:  43%|████▎     | 310828/731288 [00:56<01:14, 5652.52it/s]
loading adj matrices:  43%|████▎     | 311398/731288 [00:56<01:14, 5666.29it/s]
loading adj matrices:  43%|████▎     | 311966/731288 [00:56<01:13, 5669.10it/s]
loading adj matrices:  43%|████▎     | 312535/731288 [00:57<01:13, 5672.96it/s]
loading adj matrices:  43%|████▎     | 313111/731288 [00:57<01:13, 5695.66it/s]
loading adj matrices:  43%|████▎     | 313681/731288 [00:57<01:13, 5664.70it/s]
loading adj matrices:  43%|████▎     | 314255/731288 [00:57<01:13, 5686.16it/s]
loading adj matrices:  43%|████▎     | 314834/731288 [00:57<01:12, 5715.70it/s]
loading adj matrices:  43%|████▎     | 315406/731288 [00:57<01:12, 5701.69it/s]
loading adj matrices:  43%|████▎     | 315977/731288 [00:57<01:12, 5697.94it/s]
loading adj matrices:  43%|████▎     | 316554/731288 [00:57<01:12, 5718.09it/s]
loading adj matrices:  43%|████▎     | 317126/731288 [00:57<01:12, 5709.30it/s]
loading adj matrices:  43%|████▎     | 317697/731288 [00:57<01:12, 5687.20it/s]
loading adj matrices:  44%|████▎     | 318266/731288 [00:58<01:12, 5676.99it/s]
loading adj matrices:  44%|████▎     | 318844/731288 [00:58<01:12, 5706.34it/s]
loading adj matrices:  44%|████▎     | 319415/731288 [00:58<01:12, 5684.28it/s]
loading adj matrices:  44%|████▍     | 319984/731288 [00:58<01:12, 5655.48it/s]
loading adj matrices:  44%|████▍     | 320562/731288 [00:58<01:12, 5690.27it/s]
loading adj matrices:  44%|████▍     | 321133/731288 [00:58<01:12, 5696.03it/s]
loading adj matrices:  44%|████▍     | 321710/731288 [00:58<01:11, 5716.57it/s]
loading adj matrices:  44%|████▍     | 322282/731288 [00:58<01:11, 5692.06it/s]
loading adj matrices:  44%|████▍     | 322852/731288 [00:58<01:11, 5684.74it/s]
loading adj matrices:  44%|████▍     | 323428/731288 [00:58<01:11, 5705.41it/s]
loading adj matrices:  44%|████▍     | 323999/731288 [00:59<01:11, 5684.51it/s]
loading adj matrices:  44%|████▍     | 324568/731288 [00:59<01:11, 5665.92it/s]
loading adj matrices:  44%|████▍     | 325142/731288 [00:59<01:11, 5685.85it/s]
loading adj matrices:  45%|████▍     | 325713/731288 [00:59<01:11, 5690.41it/s]
loading adj matrices:  45%|████▍     | 326283/731288 [00:59<01:11, 5679.26it/s]
loading adj matrices:  45%|████▍     | 326853/731288 [00:59<01:11, 5684.53it/s]
loading adj matrices:  45%|████▍     | 327425/731288 [00:59<01:10, 5694.30it/s]
loading adj matrices:  45%|████▍     | 328000/731288 [00:59<01:10, 5710.09it/s]
loading adj matrices:  45%|████▍     | 328572/731288 [01:01<05:49, 1152.79it/s]
loading adj matrices:  45%|████▌     | 329136/731288 [01:01<04:26, 1509.35it/s]
loading adj matrices:  45%|████▌     | 329706/731288 [01:01<03:27, 1936.55it/s]
loading adj matrices:  45%|████▌     | 330284/731288 [01:01<02:45, 2425.12it/s]
loading adj matrices:  45%|████▌     | 330844/731288 [01:01<02:17, 2912.58it/s]
loading adj matrices:  45%|████▌     | 331414/731288 [01:01<01:57, 3413.89it/s]
loading adj matrices:  45%|████▌     | 331978/731288 [01:01<01:43, 3868.47it/s]
loading adj matrices:  45%|████▌     | 332552/731288 [01:01<01:32, 4291.03it/s]
loading adj matrices:  46%|████▌     | 333116/731288 [01:02<01:26, 4619.06it/s]
loading adj matrices:  46%|████▌     | 333684/731288 [01:02<01:21, 4891.80it/s]
loading adj matrices:  46%|████▌     | 334252/731288 [01:02<01:17, 5102.90it/s]
loading adj matrices:  46%|████▌     | 334815/731288 [01:02<01:15, 5241.85it/s]
loading adj matrices:  46%|████▌     | 335395/731288 [01:02<01:13, 5399.00it/s]
loading adj matrices:  46%|████▌     | 335963/731288 [01:02<01:12, 5463.42it/s]
loading adj matrices:  46%|████▌     | 336530/731288 [01:02<01:11, 5522.27it/s]
loading adj matrices:  46%|████▌     | 337101/731288 [01:02<01:10, 5577.01it/s]
loading adj matrices:  46%|████▌     | 337673/731288 [01:02<01:10, 5617.49it/s]
loading adj matrices:  46%|████▋     | 338242/731288 [01:02<01:09, 5638.44it/s]
loading adj matrices:  46%|████▋     | 338819/731288 [01:03<01:09, 5674.85it/s]
loading adj matrices:  46%|████▋     | 339390/731288 [01:03<01:09, 5655.56it/s]
loading adj matrices:  46%|████▋     | 339958/731288 [01:03<01:09, 5654.94it/s]
loading adj matrices:  47%|████▋     | 340531/731288 [01:03<01:08, 5675.13it/s]
loading adj matrices:  47%|████▋     | 341100/731288 [01:03<01:09, 5651.20it/s]
loading adj matrices:  47%|████▋     | 341666/731288 [01:03<01:09, 5642.92it/s]
loading adj matrices:  47%|████▋     | 342248/731288 [01:03<01:08, 5693.86it/s]
loading adj matrices:  47%|████▋     | 342822/731288 [01:03<01:08, 5706.81it/s]
loading adj matrices:  47%|████▋     | 343393/731288 [01:03<01:08, 5701.26it/s]
loading adj matrices:  47%|████▋     | 343964/731288 [01:03<01:07, 5703.32it/s]
loading adj matrices:  47%|████▋     | 344535/731288 [01:04<01:08, 5673.36it/s]
loading adj matrices:  47%|████▋     | 345103/731288 [01:04<01:08, 5666.46it/s]
loading adj matrices:  47%|████▋     | 345670/731288 [01:04<01:08, 5640.94it/s]
loading adj matrices:  47%|████▋     | 346247/731288 [01:04<01:07, 5678.03it/s]
loading adj matrices:  47%|████▋     | 346815/731288 [01:04<01:08, 5645.65it/s]
loading adj matrices:  48%|████▊     | 347388/731288 [01:04<01:07, 5669.94it/s]
loading adj matrices:  48%|████▊     | 347956/731288 [01:04<01:07, 5661.75it/s]
loading adj matrices:  48%|████▊     | 348528/731288 [01:04<01:07, 5677.34it/s]
loading adj matrices:  48%|████▊     | 349109/731288 [01:04<01:06, 5715.96it/s]
loading adj matrices:  48%|████▊     | 349681/731288 [01:04<01:07, 5673.86it/s]
loading adj matrices:  48%|████▊     | 350256/731288 [01:05<01:06, 5693.59it/s]
loading adj matrices:  48%|████▊     | 350832/731288 [01:05<01:06, 5712.24it/s]
loading adj matrices:  48%|████▊     | 351404/731288 [01:05<01:06, 5683.34it/s]
loading adj matrices:  48%|████▊     | 351973/731288 [01:05<01:06, 5680.44it/s]
loading adj matrices:  48%|████▊     | 352542/731288 [01:05<01:06, 5668.44it/s]
loading adj matrices:  48%|████▊     | 353110/731288 [01:05<01:06, 5670.95it/s]
loading adj matrices:  48%|████▊     | 353678/731288 [01:05<01:06, 5645.49it/s]
loading adj matrices:  48%|████▊     | 354257/731288 [01:05<01:06, 5686.61it/s]
loading adj matrices:  49%|████▊     | 354831/731288 [01:05<01:06, 5701.01it/s]
loading adj matrices:  49%|████▊     | 355402/731288 [01:05<01:05, 5697.11it/s]
loading adj matrices:  49%|████▊     | 355972/731288 [01:06<01:06, 5674.07it/s]
loading adj matrices:  49%|████▉     | 356541/731288 [01:06<01:06, 5677.09it/s]
loading adj matrices:  49%|████▉     | 357111/731288 [01:06<01:05, 5682.18it/s]
loading adj matrices:  49%|████▉     | 357684/731288 [01:06<01:05, 5696.33it/s]
loading adj matrices:  49%|████▉     | 358254/731288 [01:06<01:05, 5669.18it/s]
loading adj matrices:  49%|████▉     | 358832/731288 [01:06<01:05, 5701.09it/s]
loading adj matrices:  49%|████▉     | 359403/731288 [01:06<01:05, 5660.73it/s]
loading adj matrices:  49%|████▉     | 359970/731288 [01:06<01:05, 5647.91it/s]
loading adj matrices:  49%|████▉     | 360538/731288 [01:06<01:05, 5655.87it/s]
loading adj matrices:  49%|████▉     | 361108/731288 [01:06<01:05, 5667.78it/s]
loading adj matrices:  49%|████▉     | 361681/731288 [01:07<01:05, 5684.28it/s]
loading adj matrices:  50%|████▉     | 362250/731288 [01:07<01:05, 5662.06it/s]
loading adj matrices:  50%|████▉     | 362817/731288 [01:07<01:05, 5662.77it/s]
loading adj matrices:  50%|████▉     | 363403/731288 [01:07<01:04, 5720.35it/s]
loading adj matrices:  50%|████▉     | 363976/731288 [01:07<01:04, 5693.51it/s]
loading adj matrices:  50%|████▉     | 364546/731288 [01:07<01:04, 5682.33it/s]
loading adj matrices:  50%|████▉     | 365121/731288 [01:07<01:04, 5702.29it/s]
loading adj matrices:  50%|█████     | 365693/731288 [01:07<01:04, 5704.21it/s]
loading adj matrices:  50%|█████     | 366264/731288 [01:07<01:04, 5700.61it/s]
loading adj matrices:  50%|█████     | 366841/731288 [01:07<01:03, 5718.90it/s]
loading adj matrices:  50%|█████     | 367413/731288 [01:08<01:03, 5712.88it/s]
loading adj matrices:  50%|█████     | 367985/731288 [01:08<01:03, 5696.31it/s]
loading adj matrices:  50%|█████     | 368556/731288 [01:08<01:03, 5699.64it/s]
loading adj matrices:  50%|█████     | 369126/731288 [01:08<01:03, 5696.73it/s]
loading adj matrices:  51%|█████     | 369698/731288 [01:08<01:03, 5702.34it/s]
loading adj matrices:  51%|█████     | 370269/731288 [01:08<01:03, 5672.06it/s]
loading adj matrices:  51%|█████     | 370837/731288 [01:08<01:03, 5650.01it/s]
loading adj matrices:  51%|█████     | 371405/731288 [01:08<01:03, 5658.53it/s]
loading adj matrices:  51%|█████     | 371980/731288 [01:08<01:03, 5682.84it/s]
loading adj matrices:  51%|█████     | 372549/731288 [01:08<01:03, 5669.92it/s]
loading adj matrices:  51%|█████     | 373117/731288 [01:09<01:03, 5661.42it/s]
loading adj matrices:  51%|█████     | 373691/731288 [01:09<01:02, 5684.00it/s]
loading adj matrices:  51%|█████     | 374262/731288 [01:09<01:02, 5690.16it/s]
loading adj matrices:  51%|█████▏    | 374833/731288 [01:09<01:02, 5692.93it/s]
loading adj matrices:  51%|█████▏    | 375403/731288 [01:09<01:02, 5689.36it/s]
loading adj matrices:  51%|█████▏    | 375972/731288 [01:09<01:02, 5666.05it/s]
loading adj matrices:  51%|█████▏    | 376548/731288 [01:09<01:02, 5692.76it/s]
loading adj matrices:  52%|█████▏    | 377118/731288 [01:09<01:02, 5660.47it/s]
loading adj matrices:  52%|█████▏    | 377690/731288 [01:09<01:02, 5676.08it/s]
loading adj matrices:  52%|█████▏    | 378258/731288 [01:09<01:02, 5676.04it/s]
loading adj matrices:  52%|█████▏    | 378834/731288 [01:10<01:01, 5698.78it/s]
loading adj matrices:  52%|█████▏    | 379404/731288 [01:10<01:01, 5684.36it/s]
loading adj matrices:  52%|█████▏    | 379973/731288 [01:10<01:01, 5667.90it/s]
loading adj matrices:  52%|█████▏    | 380543/731288 [01:10<01:01, 5677.34it/s]
loading adj matrices:  52%|█████▏    | 381111/731288 [01:10<01:01, 5655.03it/s]
loading adj matrices:  52%|█████▏    | 381678/731288 [01:10<01:01, 5658.82it/s]
loading adj matrices:  52%|█████▏    | 382248/731288 [01:10<01:01, 5669.05it/s]
loading adj matrices:  52%|█████▏    | 382821/731288 [01:10<01:01, 5685.52it/s]
loading adj matrices:  52%|█████▏    | 383390/731288 [01:10<01:01, 5677.14it/s]
loading adj matrices:  53%|█████▎    | 383972/731288 [01:10<01:00, 5716.56it/s]
loading adj matrices:  53%|█████▎    | 384544/731288 [01:11<01:01, 5675.23it/s]
loading adj matrices:  53%|█████▎    | 385118/731288 [01:11<01:00, 5693.92it/s]
loading adj matrices:  53%|█████▎    | 385688/731288 [01:11<01:00, 5675.65it/s]
loading adj matrices:  53%|█████▎    | 386260/731288 [01:11<01:00, 5685.62it/s]
loading adj matrices:  53%|█████▎    | 386829/731288 [01:11<01:00, 5680.89it/s]
loading adj matrices:  53%|█████▎    | 387398/731288 [01:11<01:00, 5679.58it/s]
loading adj matrices:  53%|█████▎    | 387970/731288 [01:11<01:00, 5689.18it/s]
loading adj matrices:  53%|█████▎    | 388539/731288 [01:11<01:00, 5669.09it/s]
loading adj matrices:  53%|█████▎    | 389112/731288 [01:11<01:00, 5685.59it/s]
loading adj matrices:  53%|█████▎    | 389681/731288 [01:11<01:00, 5674.12it/s]
loading adj matrices:  53%|█████▎    | 390249/731288 [01:12<01:00, 5671.71it/s]
loading adj matrices:  53%|█████▎    | 390817/731288 [01:12<01:00, 5665.28it/s]
loading adj matrices:  54%|█████▎    | 391384/731288 [01:12<00:59, 5665.57it/s]
loading adj matrices:  54%|█████▎    | 391968/731288 [01:12<00:59, 5715.56it/s]
loading adj matrices:  54%|█████▎    | 392540/731288 [01:12<00:59, 5698.87it/s]
loading adj matrices:  54%|█████▍    | 393112/731288 [01:12<00:59, 5703.82it/s]
loading adj matrices:  54%|█████▍    | 393683/731288 [01:12<00:59, 5689.02it/s]
loading adj matrices:  54%|█████▍    | 394252/731288 [01:12<00:59, 5679.51it/s]
loading adj matrices:  54%|█████▍    | 394820/731288 [01:12<00:59, 5672.57it/s]
loading adj matrices:  54%|█████▍    | 395391/731288 [01:12<00:59, 5683.42it/s]
loading adj matrices:  54%|█████▍    | 395960/731288 [01:13<00:59, 5662.94it/s]
loading adj matrices:  54%|█████▍    | 396534/731288 [01:13<00:58, 5683.47it/s]
loading adj matrices:  54%|█████▍    | 397103/731288 [01:13<00:58, 5674.56it/s]
loading adj matrices:  54%|█████▍    | 397677/731288 [01:13<00:58, 5691.31it/s]
loading adj matrices:  54%|█████▍    | 398247/731288 [01:13<00:58, 5667.01it/s]
loading adj matrices:  55%|█████▍    | 398817/731288 [01:13<00:58, 5674.58it/s]
loading adj matrices:  55%|█████▍    | 399387/731288 [01:13<00:58, 5680.59it/s]
loading adj matrices:  55%|█████▍    | 399959/731288 [01:13<00:58, 5689.94it/s]
loading adj matrices:  55%|█████▍    | 400529/731288 [01:13<00:58, 5691.54it/s]
loading adj matrices:  55%|█████▍    | 401099/731288 [01:13<00:58, 5669.81it/s]
loading adj matrices:  55%|█████▍    | 401669/731288 [01:14<00:58, 5677.96it/s]
loading adj matrices:  55%|█████▌    | 402241/731288 [01:14<00:57, 5689.91it/s]
loading adj matrices:  55%|█████▌    | 402819/731288 [01:14<00:57, 5715.95it/s]
loading adj matrices:  55%|█████▌    | 403393/731288 [01:14<00:57, 5722.80it/s]
loading adj matrices:  55%|█████▌    | 403966/731288 [01:14<00:57, 5724.46it/s]
loading adj matrices:  55%|█████▌    | 404539/731288 [01:14<00:57, 5687.39it/s]
loading adj matrices:  55%|█████▌    | 405108/731288 [01:14<00:57, 5669.39it/s]
loading adj matrices:  55%|█████▌    | 405687/731288 [01:14<00:57, 5704.36it/s]
loading adj matrices:  56%|█████▌    | 406258/731288 [01:14<00:57, 5684.74it/s]
loading adj matrices:  56%|█████▌    | 406831/731288 [01:14<00:56, 5696.73it/s]
loading adj matrices:  56%|█████▌    | 407401/731288 [01:15<00:56, 5694.75it/s]
loading adj matrices:  56%|█████▌    | 407971/731288 [01:15<00:56, 5673.82it/s]
loading adj matrices:  56%|█████▌    | 408543/731288 [01:15<00:56, 5685.57it/s]
loading adj matrices:  56%|█████▌    | 409117/731288 [01:15<00:56, 5699.85it/s]
loading adj matrices:  56%|█████▌    | 409692/731288 [01:15<00:56, 5713.96it/s]
loading adj matrices:  56%|█████▌    | 410264/731288 [01:15<00:56, 5708.51it/s]
loading adj matrices:  56%|█████▌    | 410835/731288 [01:15<00:56, 5672.12it/s]
loading adj matrices:  56%|█████▋    | 411403/731288 [01:15<00:56, 5669.06it/s]
loading adj matrices:  56%|█████▋    | 411980/731288 [01:15<00:56, 5697.45it/s]
loading adj matrices:  56%|█████▋    | 412550/731288 [01:15<00:56, 5673.73it/s]
loading adj matrices:  56%|█████▋    | 413118/731288 [01:16<00:56, 5662.92it/s]
loading adj matrices:  57%|█████▋    | 413689/731288 [01:16<00:55, 5676.28it/s]
loading adj matrices:  57%|█████▋    | 414262/731288 [01:16<00:55, 5690.03it/s]
loading adj matrices:  57%|█████▋    | 414832/731288 [01:16<00:55, 5692.20it/s]
loading adj matrices:  57%|█████▋    | 415402/731288 [01:16<00:55, 5691.11it/s]
loading adj matrices:  57%|█████▋    | 415972/731288 [01:16<00:55, 5687.15it/s]
loading adj matrices:  57%|█████▋    | 416542/731288 [01:16<00:55, 5688.82it/s]
loading adj matrices:  57%|█████▋    | 417112/731288 [01:16<00:55, 5690.57it/s]
loading adj matrices:  57%|█████▋    | 417682/731288 [01:16<00:55, 5680.92it/s]
loading adj matrices:  57%|█████▋    | 418251/731288 [01:16<00:55, 5681.66it/s]
loading adj matrices:  57%|█████▋    | 418823/731288 [01:17<00:54, 5691.52it/s]
loading adj matrices:  57%|█████▋    | 419400/731288 [01:17<00:54, 5712.79it/s]
loading adj matrices:  57%|█████▋    | 419976/731288 [01:17<00:54, 5724.83it/s]
loading adj matrices:  58%|█████▊    | 420549/731288 [01:17<00:54, 5694.00it/s]
loading adj matrices:  58%|█████▊    | 421119/731288 [01:17<00:54, 5687.10it/s]
loading adj matrices:  58%|█████▊    | 421691/731288 [01:17<00:54, 5693.80it/s]
loading adj matrices:  58%|█████▊    | 422261/731288 [01:17<00:54, 5693.17it/s]
loading adj matrices:  58%|█████▊    | 422831/731288 [01:17<00:54, 5682.51it/s]
loading adj matrices:  58%|█████▊    | 423400/731288 [01:17<00:54, 5666.04it/s]
loading adj matrices:  58%|█████▊    | 423969/731288 [01:17<00:54, 5671.12it/s]
loading adj matrices:  58%|█████▊    | 424537/731288 [01:18<00:54, 5664.82it/s]
loading adj matrices:  58%|█████▊    | 425104/731288 [01:18<00:54, 5661.91it/s]
loading adj matrices:  58%|█████▊    | 425675/731288 [01:18<00:53, 5673.72it/s]
loading adj matrices:  58%|█████▊    | 426243/731288 [01:18<00:53, 5672.25it/s]
loading adj matrices:  58%|█████▊    | 426811/731288 [01:18<00:53, 5667.04it/s]
loading adj matrices:  58%|█████▊    | 427379/731288 [01:18<00:53, 5667.64it/s]
loading adj matrices:  59%|█████▊    | 427950/731288 [01:18<00:53, 5677.87it/s]
loading adj matrices:  59%|█████▊    | 428520/731288 [01:18<00:53, 5682.17it/s]
loading adj matrices:  59%|█████▊    | 429089/731288 [01:18<00:53, 5669.28it/s]
loading adj matrices:  59%|█████▉    | 429656/731288 [01:18<00:53, 5655.50it/s]
loading adj matrices:  59%|█████▉    | 430222/731288 [01:19<00:53, 5654.19it/s]
loading adj matrices:  59%|█████▉    | 430788/731288 [01:19<00:53, 5652.73it/s]
loading adj matrices:  59%|█████▉    | 431354/731288 [01:19<00:53, 5651.95it/s]
loading adj matrices:  59%|█████▉    | 431940/731288 [01:19<00:52, 5711.69it/s]
loading adj matrices:  59%|█████▉    | 432512/731288 [01:19<00:52, 5698.99it/s]
loading adj matrices:  59%|█████▉    | 433085/731288 [01:19<00:52, 5706.46it/s]
loading adj matrices:  59%|█████▉    | 433656/731288 [01:19<00:52, 5678.43it/s]
loading adj matrices:  59%|█████▉    | 434224/731288 [01:19<00:52, 5664.71it/s]
loading adj matrices:  59%|█████▉    | 434794/731288 [01:19<00:52, 5672.41it/s]
loading adj matrices:  60%|█████▉    | 435363/731288 [01:19<00:52, 5674.58it/s]
loading adj matrices:  60%|█████▉    | 435932/731288 [01:20<00:52, 5676.26it/s]
loading adj matrices:  60%|█████▉    | 436500/731288 [01:20<00:52, 5666.81it/s]
loading adj matrices:  60%|█████▉    | 437067/731288 [01:20<00:51, 5663.68it/s]
loading adj matrices:  60%|█████▉    | 437641/731288 [01:20<00:51, 5686.15it/s]
loading adj matrices:  60%|█████▉    | 438210/731288 [01:20<00:51, 5675.32it/s]
loading adj matrices:  60%|██████    | 438778/731288 [01:20<00:51, 5667.76it/s]
loading adj matrices:  60%|██████    | 439351/731288 [01:20<00:51, 5683.23it/s]
loading adj matrices:  60%|██████    | 439920/731288 [01:20<00:51, 5668.41it/s]
loading adj matrices:  60%|██████    | 440487/731288 [01:20<00:51, 5664.88it/s]
loading adj matrices:  60%|██████    | 441054/731288 [01:21<00:51, 5664.48it/s]
loading adj matrices:  60%|██████    | 441621/731288 [01:21<00:51, 5647.59it/s]
loading adj matrices:  60%|██████    | 442186/731288 [01:21<00:51, 5628.06it/s]
loading adj matrices:  61%|██████    | 442754/731288 [01:21<00:51, 5642.26it/s]
loading adj matrices:  61%|██████    | 443330/731288 [01:21<00:50, 5675.71it/s]
loading adj matrices:  61%|██████    | 443898/731288 [01:21<00:50, 5667.66it/s]
loading adj matrices:  61%|██████    | 444465/731288 [01:21<00:50, 5656.27it/s]
loading adj matrices:  61%|██████    | 445046/731288 [01:21<00:50, 5699.38it/s]
loading adj matrices:  61%|██████    | 445616/731288 [01:21<00:50, 5687.63it/s]
loading adj matrices:  61%|██████    | 446185/731288 [01:21<00:50, 5676.56it/s]
loading adj matrices:  61%|██████    | 446753/731288 [01:22<00:50, 5650.60it/s]
loading adj matrices:  61%|██████    | 447319/731288 [01:22<00:50, 5650.45it/s]
loading adj matrices:  61%|██████    | 447891/731288 [01:22<00:49, 5669.23it/s]
loading adj matrices:  61%|██████▏   | 448469/731288 [01:22<00:49, 5700.28it/s]
loading adj matrices:  61%|██████▏   | 449040/731288 [01:22<00:49, 5691.26it/s]
loading adj matrices:  61%|██████▏   | 449614/731288 [01:22<00:49, 5703.57it/s]
loading adj matrices:  62%|██████▏   | 450185/731288 [01:22<00:49, 5704.48it/s]
loading adj matrices:  62%|██████▏   | 450756/731288 [01:22<00:49, 5681.09it/s]
loading adj matrices:  62%|██████▏   | 451328/731288 [01:22<00:49, 5690.54it/s]
loading adj matrices:  62%|██████▏   | 451898/731288 [01:22<00:49, 5680.43it/s]
loading adj matrices:  62%|██████▏   | 452468/731288 [01:23<00:49, 5685.88it/s]
loading adj matrices:  62%|██████▏   | 453037/731288 [01:23<00:49, 5660.10it/s]
loading adj matrices:  62%|██████▏   | 453605/731288 [01:23<00:49, 5665.70it/s]
loading adj matrices:  62%|██████▏   | 454173/731288 [01:23<00:48, 5669.39it/s]
loading adj matrices:  62%|██████▏   | 454740/731288 [01:23<00:48, 5652.39it/s]
loading adj matrices:  62%|██████▏   | 455310/731288 [01:23<00:48, 5665.96it/s]
loading adj matrices:  62%|██████▏   | 455890/731288 [01:23<00:48, 5703.83it/s]
loading adj matrices:  62%|██████▏   | 456461/731288 [01:23<00:48, 5669.24it/s]
loading adj matrices:  62%|██████▏   | 457031/731288 [01:23<00:48, 5676.36it/s]
loading adj matrices:  63%|██████▎   | 457602/731288 [01:23<00:48, 5683.75it/s]
loading adj matrices:  63%|██████▎   | 458175/731288 [01:24<00:47, 5694.38it/s]
loading adj matrices:  63%|██████▎   | 458745/731288 [01:24<00:48, 5669.92it/s]
loading adj matrices:  63%|██████▎   | 459314/731288 [01:24<00:47, 5675.48it/s]
loading adj matrices:  63%|██████▎   | 459882/731288 [01:24<00:47, 5671.68it/s]
loading adj matrices:  63%|██████▎   | 460457/731288 [01:24<00:47, 5694.10it/s]
loading adj matrices:  63%|██████▎   | 461031/731288 [01:24<00:47, 5706.40it/s]
loading adj matrices:  63%|██████▎   | 461602/731288 [01:24<00:47, 5700.53it/s]
loading adj matrices:  63%|██████▎   | 462174/731288 [01:24<00:47, 5705.54it/s]
loading adj matrices:  63%|██████▎   | 462745/731288 [01:24<00:47, 5683.00it/s]
loading adj matrices:  63%|██████▎   | 463314/731288 [01:24<00:47, 5679.37it/s]
loading adj matrices:  63%|██████▎   | 463883/731288 [01:25<00:47, 5681.80it/s]
loading adj matrices:  64%|██████▎   | 464454/731288 [01:25<00:46, 5688.44it/s]
loading adj matrices:  64%|██████▎   | 465023/731288 [01:25<00:46, 5666.37it/s]
loading adj matrices:  64%|██████▎   | 465590/731288 [01:25<00:47, 5645.34it/s]
loading adj matrices:  64%|██████▎   | 466164/731288 [01:25<00:46, 5671.86it/s]
loading adj matrices:  64%|██████▍   | 466732/731288 [01:25<00:46, 5655.16it/s]
loading adj matrices:  64%|██████▍   | 467298/731288 [01:25<00:46, 5628.85it/s]
loading adj matrices:  64%|██████▍   | 467869/731288 [01:25<00:46, 5651.91it/s]
loading adj matrices:  64%|██████▍   | 468439/731288 [01:25<00:46, 5664.37it/s]
loading adj matrices:  64%|██████▍   | 469009/731288 [01:25<00:46, 5674.51it/s]
loading adj matrices:  64%|██████▍   | 469577/731288 [01:26<00:46, 5669.75it/s]
loading adj matrices:  64%|██████▍   | 470147/731288 [01:26<00:45, 5678.07it/s]
loading adj matrices:  64%|██████▍   | 470716/731288 [01:26<00:45, 5681.02it/s]
loading adj matrices:  64%|██████▍   | 471285/731288 [01:26<00:45, 5662.32it/s]
loading adj matrices:  65%|██████▍   | 471856/731288 [01:26<00:45, 5675.05it/s]
loading adj matrices:  65%|██████▍   | 472426/731288 [01:26<00:45, 5679.94it/s]
loading adj matrices:  65%|██████▍   | 472995/731288 [01:26<00:45, 5660.86it/s]
